微博id,评论页码,评论id,评论时间,评论者赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容
4909917352494814,1,4910025250706139,2023-06-07 15:58:26,3690,来自浙江,没事别来我家,5973887242,男,126,71,穿凹凸曼上去的都有穿高跟鞋就不尊重了，不愧为键盘侠之名。
4909917352494814,1,4910154966895002,2023-06-08 00:33:53,2458,来自福建,大树心事重重,7814225765,女,297,0,因为他们买不起
4909917352494814,1,4910240748798039,2023-06-08 06:14:44,1042,来自河南,扣个大鼻嘎吃吃,6084112847,女,199,5,众所周知，女人好看有罪
4909917352494814,1,4910400955223725,2023-06-08 16:51:21,399,来自福建,a--大白兔_,2756409151,女,253,175,会显得比旁边的人高？
4909917352494814,1,4910316221629788,2023-06-08 11:14:39,49,来自上海,njwzZZZ,5717762944,男,254,28,关键是这个帽子戴的。。。
4909917352494814,1,4909948477117835,2023-06-07 10:53:22,339,来自上海,醉仙凌空绛,5906345607,女,207,51,那些人闲的
4909917352494814,1,4910135397061065,2023-06-07 23:16:07,119,来自北京,LEE辉煌的蛇精病,3060162301,女,453,192,比起鞋，还不如挑一下不正规戴学士帽，起码这还算个正经杠点
4909917352494814,1,4910247355091069,2023-06-08 06:41:00,79,来自四川,Wishontheway,3073309231,女,83,71,是贵的不尊重吗？
4909917352494814,1,4910139377458132,2023-06-07 23:31:56,66,来自山西,软萌小珍珠,6054981359,女,1099,100,大学生是不能穿高跟鞋了吗
4909917352494814,1,4910083463714905,2023-06-07 19:49:45,43,来自山东,动车饲养员,1788933541,男,406,250,华伦天奴和巴黎世家到底一年产量有多大？
4909917352494814,1,4910843747637580,2023-06-09 22:10:51,4,来自广东,Hayvnn,5668304413,女,166,65,就是不太正式帽子也没戴好
4909917352494814,1,4910651111375762,2023-06-09 09:25:23,53,来自江苏,这个你吃吗,3177512194,女,485,112,鞋又买不起，大学还没考上，怎么能不破防呢
4909917352494814,1,4910251804984509,2023-06-08 06:58:41,21,来自天津,某某_201304,7568233458,女,40,3,突然觉得自己的重要时刻，她就是不穿，光着，因为真心喜欢这样的自己而不是搏眼球就一点问题都没有。
4909917352494814,1,4910825673853766,2023-06-09 20:59:02,7,来自陕西,老猴爱吃肉,5126220112,男,361,109,会显得比旁边的人高？
4909917352494814,1,4910369304479434,2023-06-08 14:45:35,27,来自江苏,围观群众看看WG,5663897566,男,259,37,现在社会什么危机感这么神奇，这种十年前都稀松平常的打扮，到底谁在质疑啊，毛病
4909917352494814,1,4910131651805618,2023-06-07 23:01:13,37,来自日本,chinadolls0618,5149414304,女,207,68,挺好的啊……有啥不行，清朝吗
4909917352494814,2,4910205667902036,2023-06-08 03:55:21,24,来自河南,要成为甜甜的cheese,6057422549,女,117,609,我的外教问我为什么中国大学生不穿高跟鞋，我回答不舒服不爱穿。  我们只是不喜欢穿 不是不能穿，二十多岁了想穿啥穿啥，有些人别管太宽了
4909917352494814,2,4910145430095536,2023-06-07 23:55:59,19,来自安徽,有两三点困a,5910260715,女,23,180,某些人就是有猫饼呗
4909917352494814,2,4910496682346435,2023-06-08 23:11:44,15,来自浙江,ZLLbanana,3313920417,女,346,98,为什么老是对别人的穿着在那里评头论足呢
4909917352494814,2,4910339882224254,2023-06-08 12:48:40,16,来自广东,小辣友OK,6131008738,男,364,23,要不裹个小脚穿北京老布鞋吧
4909917352494814,2,4911124061363235,2023-06-10 16:44:43,2,来自广东,loveslide,2803105764,男,223,199,没觉得怎么样啊  挺好的
4909917352494814,2,4911984212705624,2023-06-13 01:42:38,1,来自四川,丸子呀_Y,5493579359,女,238,22,好苗条哈，你受得了。
4909917352494814,2,4911961349555842,2023-06-13 00:11:48,1,来自中国,老公你看我可爱口马,6664171337,女,98,36,会显得比旁边的人高？
